字詞名,unicode,部首字,部首外筆畫數,總筆畫數
𠀕,20015,二 ,3,5
𠁥,20065,丨 ,4,5
𠅘,20158,亠 ,8,10
𠅢,20162,卜 ,9,11
𠌸,20338,人 ,11,13
𠑹,20479,儿 ,4,6
𠜶,20736,刀 ,8,10
𡎖,21396,土 ,9,12
𡙇,21647,大 ,10,13
𡚁,21681,大 ,11,14
𡦗,21997,子 ,12,15
𡦘,21998,子 ,12,15
𢙈,22648,心 ,6,10
𢠳,22833,心 ,11,14
𣑱,23471,木 ,6,10
𣘨,23628,木 ,11,15
𣙷,23677,木 ,11,15
𣝓,23753,木 ,14,18
𤈦,24226,火 ,7,11
𤙡,24661,牛 ,7,11
𦊀,26280,网 ,3,7
𦍑,26351,羊 ,3,9
𦤶,26936,至 ,4,10
𦥑,26951,臼 ,0,7
𧑗,27457,虫 ,12,18
𧒂,27482,虫 ,12,18
𨂂,28082,足 ,8,15
𨉣,28263,身 ,9,16
𨔰,28530,辵 ,9,13
𨝣,28763,邑 ,11,14
𨝸,28778,邑 ,12,15
𩔗,29517,頁 ,9,18
㐭,0342D,亠 ,6,8
㑪,0346A,人 ,8,10
㑳,03473,人 ,10,12
㑿,0347F,人 ,11,13
㒋,0348B,人 ,12,14
㒓,03493,人 ,13,15
㒳,034B3,入 ,5,7
㓕,034D5,冫 ,10,12
㓦,034E6,刀 ,6,8
㔩,03529,勹 ,10,12
㔻,0353B,十 ,4,6
㕁,03541,卩 ,6,8
㕑,03551,厂 ,12,14
㕔,03554,厂 ,22,24
㕘,03558,厶 ,9,11
㕙,03559,厶 ,13,15
㕜,0355C,又 ,4,6
㕥,03565,口 ,2,5
㕷,03577,口 ,5,8
㖡,035A1,口 ,8,11
㖪,035AA,口 ,8,11
㘔,03614,口 ,17,20
㘯,0362F,土 ,4,7
㘺,0363A,土 ,6,9
㚩,036A9,女 ,3,6
㚷,036B7,女 ,5,8
㛂,036C2,女 ,6,9
㛮,036EE,女 ,9,12
㛰,036F0,女 ,9,12
㜑,03711,女 ,10,13
㜵,03735,女 ,16,19
㝎,0374E,宀 ,3,6
㝛,0375B,宀 ,8,11
㝡,03761,宀 ,8,11
㝱,03771,宀 ,18,21
㞞,0379E,尸 ,11,14
㟏,037CF,山 ,7,10
㟭,037ED,山 ,9,12
㠀,03800,山 ,11,14
㠯,0382F,己 ,2,5
㡓,03853,巾 ,9,12
㣔,038D4,彳 ,2,5
㥄,03944,心 ,8,11
㥏,0394F,心 ,8,11
㥦,03966,心 ,9,13
㥵,03975,心 ,10,13
㦔,03994,心 ,12,16
㧖,039D6,手 ,5,8
㨈,03A08,手 ,8,11
㨗,03A17,手 ,9,12
㩀,03A40,手 ,11,14
㩐,03A50,手 ,12,15
㩗,03A57,手 ,13,16
㩳,03A73,手 ,18,21
㪟,03A9F,攴 ,9,13
㫃,03AC3,方 ,2,6
㫄,03AC4,方 ,4,8
㫖,03AD6,日 ,3,7
㬅,03B05,曰 ,9,13
㬊,03B0A,日 ,9,13
㭘,03B58,木 ,6,10
㮄,03B84,木 ,8,12
㯭,03BED,木 ,13,17
㯶,03BF6,木 ,13,17
㯽,03BFD,木 ,14,18
㰖,03C16,木 ,16,20
㱃,03C43,欠 ,11,15
㱕,03C55,止 ,8,12
㱪,03C6A,歹 ,9,13
㲪,03CAA,毛 ,12,16
㲯,03CAF,毛 ,14,18
㲲,03CB2,毛 ,22,26
㳂,03CC2,水 ,4,7
㳄,03CC4,水 ,4,7
㳅,03CC5,水 ,4,7
㳒,03CD2,水 ,5,8
㳺,03CFA,水 ,8,11
㳽,03CFD,水 ,8,11
㳿,03CFF,水 ,8,11
㴑,03D11,水 ,9,12
㵝,03D5D,水 ,13,16
㵞,03D5E,水 ,13,16
㶁,03D81,水 ,15,18
㶟,03D9F,水 ,21,24
㷍,03DCD,火 ,8,12
㸌,03E0C,火 ,16,20
㸔,03E14,目 ,5,10
㸙,03E19,父 ,8,12
㸰,03E30,牛 ,5,9
㹜,03E5C,犬 ,4,8
㹠,03E60,犬 ,4,7
㻗,03ED7,玉 ,8,13
㻫,03EEB,玉 ,11,15
㽣,03F63,田 ,8,13
㾐,03F90,疒 ,6,11
㿜,03FDC,疒 ,23,28
䀇,04007,皿 ,11,16
䀠,04020,目 ,5,10
䀢,04022,目 ,5,10
䃉,040C9,石 ,9,14
䃘,040D8,石 ,11,16
䄏,0410F,示 ,8,13
䆿,041BF,穴 ,14,19
䈰,04230,竹 ,10,16
䈾,0423E,竹 ,11,17
䉶,04276,竹 ,18,24
䋁,042C1,糸 ,4,10
䋄,042C4,糸 ,4,10
䋲,042F2,糸 ,8,14
䍡,04361,网 ,11,15
䍦,04366,网 ,19,24
䍪,0436A,羊 ,5,11
䏿,043FF,肉 ,8,12
䐶,04436,肉 ,12,16
䑓,04453,至 ,7,13
䑙,04459,舌 ,4,10
䑹,04479,舟 ,9,15
䒷,044B7,艸 ,6,10
䓁,044C1,艸 ,6,10
䔥,04525,艸 ,11,15
䔰,04530,艸 ,12,16
䖍,0458D,虍 ,4,10
䖏,0458F,虍 ,5,11
䖳,045B3,虫 ,6,12
䖵,045B5,虫 ,6,12
䖸,045B8,虫 ,7,13
䗊,045CA,虫 ,8,14
䗶,045F6,虫 ,13,19
䘏,0460F,血 ,3,9
䘑,04611,血 ,5,11
䘒,04612,血 ,7,13
䘚,0461A,衣 ,2,8
䘮,0462E,人 ,8,10
䘿,0463F,衣 ,8,14
䙷,04677,見 ,3,10
䛊,046CA,言 ,5,12
䛐,046D0,言 ,5,12
䛟,046DF,言 ,7,14
䝟,0475F,豸 ,9,16
䝨,04768,貝 ,4,11
䝲,04772,貝 ,6,13
䞓,04793,赤 ,7,14
䟆,047C6,走 ,11,18
䟫,047EB,足 ,5,12
䠊,0480A,足 ,8,15
䠞,0481E,足 ,11,18
䠥,04825,足 ,11,18
䠷,04837,身 ,6,13
䡖,04856,車 ,6,13
䤈,04908,酉 ,9,16
䥈,04948,金 ,11,19
䥫,0496B,金 ,14,22
䦧,049A7,門 ,8,16
䨦,04A26,雨 ,10,18
䨲,04A32,雨 ,14,22
䩦,04A66,革 ,7,16
䪢,04AA2,韭 ,11,20
䫄,04AC4,頁 ,7,16
䫏,04ACF,頁 ,8,17
䬠,04B20,雨 ,9,17
䬡,04B21,飛 ,8,17
䬪,04B2A,食 ,4,12
䬳,04B33,食 ,5,13
䭫,04B6B,首 ,6,15
䰀,04C00,髟 ,8,18
䰐,04C10,髟 ,14,24
䰖,04C16,髟 ,19,29
䰟,04C1F,鬼 ,4,14
䰰,04C30,鬼 ,14,24
䳘,04CD8,鳥 ,7,18
䴸,04D38,麥 ,7,18
䶊,04D8A,鼻 ,4,18
䶌,04D8C,鼻 ,5,19
一,04E00,一 ,0,1
丁,04E01,一 ,1,2
丂,04E02,一 ,1,2
七,04E03,一 ,1,2
万,04E07,一 ,2,3
万,04E07,一 ,2,3
丈,04E08,一 ,2,3
三,04E09,一 ,2,3
上,04E0A,一 ,2,3
下,04E0B,一 ,2,3
丌,04E0C,一 ,2,3
